Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Laborers and freight, stock, and material movers, hand","11,900","$1,370,000 ","$174,000 ","10,427","$1,373,000 ","$198,000 ","1,176",(B),(B),297,(B),(B),-,(B),(B)
"Miscellaneous legal support workers","11,826","$2,094,000 ","$245,000 ","9,564",(B),(B),"1,598",(B),(B),664,(B),(B),-,(B),(B)
"Supervisors of transportation and material moving workers","11,795","$2,223,000 ","$250,000 ","10,331","$2,290,000 ","$252,000 ","1,394",(B),(B),-,(B),(B),70,(B),(B)
"Payroll and timekeeping clerks","11,404","$1,646,000 ","$175,000 ","10,597","$1,659,000 ","$169,000 ",807,(B),(B),-,(B),(B),-,(B),(B)
"Data entry keyers","11,228","$1,466,000 ","$169,000 ","9,880",(B),(B),"1,238",(B),(B),50,(B),(B),60,(B),(B)
"Postal service mail carriers","11,120",(B),(B),"10,647",(B),(B),473,(B),(B),-,(B),(B),-,(B),(B)
"Athletes, coaches, umpires, and related workers","10,867",(B),(B),"9,065",(B),(B),"1,734",(B),(B),68,(B),(B),-,(B),(B)
"Teacher assistants","10,823",(B),(B),"9,393",(B),(B),"1,346",(B),(B),84,(B),(B),-,(B),(B)
Carpenters,"10,717",(B),(B),"9,551",(B),(B),"1,006",(B),(B),160,(B),(B),-,(B),(B)
Firefighters,"10,693",(B),(B),"10,326",(B),(B),200,(B),(B),105,(B),(B),62,(B),(B)
"Shipping, receiving, and traffic clerks","10,403","$1,367,000 ","$160,000 ","9,689",(B),(B),500,(B),(B),130,(B),(B),84,(B),(B)
"Engineers, all other","10,279","$3,371,000 ","$287,000 ","8,316",(B),(B),"1,790",(B),(B),62,(B),(B),111,(B),(B)
"Public relations specialists","10,038","$3,285,000 ","$414,000 ","7,281",(B),(B),"2,495",(B),(B),262,(B),(B),-,(B),(B)
